delta_rating,map_id,delta_map_wr_windowed,map_missing_flag,LAN_flag,h2h_shrunk,h2h_count
-14,5,-0.3,0,0,0,0
6,5,-1.0,0,1,0,0
-81,2,0.3,0,0,2,4
60,1,0.0,0,0,-1,1
-14,1,0.04,0,0,0,0
2,1,0.16,0,0,0,0
-34,3,-0.83,0,1,0,0
-90,0,0,1,0,-1,1
132,2,0.0,0,1,-1,1
40,3,-0.5,0,0,0,0
-60,4,0,1,1,0,0
2,1,0.0,0,1,0,0
-58,1,-0.5,0,0,0,0
-31,6,0.2,0,1,2,4
-26,0,0,1,1,0,0
-28,0,-0.5,0,1,-1,1
7,5,0.0,0,0,0,0
-65,0,0.17,0,1,1,1
38,1,-0.5,0,1,-2,2
13,0,0,1,1,0,0
3,2,-1.0,0,1,5,9
-8,4,-0.33,0,0,0,0
-46,0,1.0,0,1,1,1
-52,1,0.33,0,1,0,4
-48,4,0.6,0,0,0,0
-4,1,0.0,0,1,0,0
42,1,0.0,0,1,0,0
105,4,-0.33,0,1,0,0
68,4,0.5,0,1,3,3
18,0,0.45,0,0,1,7
-1,0,0.33,0,1,1,5
-54,1,-0.44,0,1,0,0
25,3,0,1,1,0,2
-165,6,0.0,0,1,1,1
56,6,0.42,0,1,-1,1
-6,6,0.0,0,0,0,0
-99,4,0.33,0,1,0,0
-88,3,-0.22,0,0,-1,1
19,7,0,1,1,0,2
24,0,-0.5,0,1,-3,3
-142,6,0.8,0,0,0,0
4,6,-0.33,0,0,0,0
32,4,-0.33,0,1,-1,1
-78,1,-1.0,0,0,1,1
3,6,-0.35,0,1,1,1
31,4,-0.05,0,1,0,2
18,4,0,1,1,0,0
-157,4,0.0,0,1,0,0
21,0,0.17,0,0,0,4
125,1,-1.0,0,0,1,1
-68,5,0.33,0,0,2,2
55,0,0.46,0,0,0,4
-18,0,0.17,0,1,0,4
-3,0,-0.13,0,0,3,5
22,2,0.5,0,1,1,1
26,2,0.0,0,0,0,0
6,0,0.0,0,1,-1,1
38,6,-0.33,0,0,-1,1
-2,0,-1.0,0,0,0,0
-16,6,0.5,0,0,0,0
57,6,0.0,0,1,-1,1
2,5,0,1,1,0,2
-52,0,0.5,0,0,1,1
75,4,0.6,0,0,0,2
-49,3,-0.17,0,0,0,2
-62,5,-1.0,0,1,0,0
-33,0,-0.17,0,0,0,2
77,3,-0.5,0,1,-1,1
-14,4,-0.5,0,0,0,0
-24,6,0.17,0,1,0,0
-74,6,-0.67,0,0,0,0
3,0,-0.33,0,1,6,12
10,1,-0.67,0,1,-2,2
-63,2,-0.33,0,0,1,1
-88,1,-1.0,0,1,0,0
40,4,0.5,0,0,0,0
56,3,0,1,1,0,2
-10,0,-0.67,0,1,0,0
-70,0,0.0,0,1,0,2
-3,2,0.6,0,0,-1,1
-41,0,-0.62,0,0,-1,5
-17,4,-0.14,0,0,-1,1
-12,3,-0.38,0,0,0,0
-86,0,-0.07,0,1,-1,1
6,2,0.0,0,1,0,0
8,0,0.25,0,1,0,2
16,6,0.33,0,0,0,0
-22,5,-0.36,0,0,0,0
14,4,0.3,0,0,0,0
-18,5,0,1,0,0,0
-47,6,0,1,1,0,0
-87,1,0.0,0,1,2,2
-14,5,-1.0,0,1,0,0
14,2,0.08,0,1,-1,1
-8,2,0.33,0,1,-1,1
12,1,-0.31,0,0,-2,8
-46,3,0,1,1,0,0
-46,4,0.83,0,1,0,0
79,0,-0.5,0,0,0,0
13,1,0.32,0,0,1,1
-109,5,1.0,0,0,5,5
54,1,0.71,0,0,0,0
11,0,0,1,0,-1,1
30,3,0.25,0,0,0,0
75,2,-0.8,0,1,0,0
15,5,-0.5,0,0,1,1
14,0,1.0,0,0,-1,1
17,6,0,1,1,0,2
16,4,0.17,0,0,0,0
-125,2,0,1,1,0,0
24,4,-0.29,0,1,0,0
-38,1,0.0,0,0,1,1
-74,0,-0.4,0,1,0,0
-13,6,0.05,0,0,1,3
29,6,-1.0,0,0,1,1
-118,1,0.0,0,1,0,0
-4,4,0.0,0,0,1,1
-46,2,-0.33,0,0,0,0
-33,2,0.48,0,0,-1,1
6,6,0.5,0,1,0,2
-3,0,-1.0,0,1,0,0
-41,2,0.36,0,0,-2,6
-49,5,-1.0,0,0,0,2
15,0,0,1,1,0,0
15,0,-0.19,0,1,-2,2
2,1,0.14,0,0,1,1
-6,2,0.0,0,1,0,0
-33,0,-0.75,0,0,0,0
-24,1,0.17,0,0,2,2
70,1,0.0,0,1,1,1
-3,4,0.5,0,1,0,0
-22,0,-0.33,0,0,-1,1
-15,2,-0.6,0,1,0,0
-24,0,-0.4,0,0,0,2
-165,1,-0.5,0,1,0,0
-4,5,0.0,0,0,0,0
26,4,1.0,0,1,1,1
5,1,-1.0,0,0,-2,4
38,6,0,1,0,-1,1
